gbifID,institutionCode,collectionCode,occurrenceID,catalogNumber,recordNumber,recordedBy,fieldNumber,eventDate,year,month,day,eventRemarks,countryCode,stateProvince,locality,decimalLongitude,decimalLatitude,elevation,habitat,eventRemarks,references,basisOfRecord,taxonID,scientificNameID,family,genus,species,scientificName,taxonomicStatus,acceptedScientificName,datasetKey,mediaType,occurrenceRemarks,dynamicProperties,fieldNotes,reproductiveCondition,hasGeospatialIssues,hasCoordinate,coordinateUncertaintyInMeters,issue,image_url,acceptedScientificName_corr,Country_name,Binned_latitude
3769961352,MN,R,BRA:MN:R:241114,241114,415,"Fernandes, T.",,2018-11-24T00:00:00,2018.0,11.0,24.0,,BR,Rio de Janeiro,,-43.021667,-22.967778,300.0,,,,PRESERVED_SPECIMEN,,,Annonaceae,Annona,Annona parviflora,Annona parviflora (A.St.-Hil.) H.Rainer,ACCEPTED,Annona parviflora (A.St.-Hil.) H.Rainer,cd6905cf-54d7-4628-b762-f63d269e239b,,RB 781567,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION,,Annona mucosa Jacq.,Brazil,"(-26, -16]"
3762896455,ASU,Plants,5331cdf6-8886-4164-81b7-6e56c1cc8861,,,,,2010-11-30T00:00:00,2010.0,11.0,30.0,,PE,,Jenaro Herrera 1; JH1,-73.64794,-4.89783,124.0,"Tropical Moist Forest, soil order: Ultisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29222424,PRESERVED_SPECIMEN,366722,,Moraceae,Brosimum,Brosimum utile,Brosimum utile subsp. ovatifolium (Ducke) C.C.Berg,ACCEPTED,Brosimum utile subsp. ovatifolium (Ducke) C.C.Berg,e05fd4c2-4d77-4c50-880e-1b22096af300,,Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,Brosimum utile (Kunth) Pittier,Peru,"(-6, 4]"
3762893679,ASU,Plants,9bd16d46-16d5-4b81-b2c3-0e6a3221cf7d,,,,,2010-11-15T00:00:00,2010.0,11.0,15.0,,EC,,El Cedral,-78.56722,-0.12407,2385.0,"Tropical Montane Wet Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29226869,PRESERVED_SPECIMEN,78099,,Rubiaceae,Cinchona,Cinchona pubescens,Cinchona succirubra Pav. ex Klotzsch,SYNONYM,Cinchona pubescens Vahl,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP21/CSP21289_lg.jpg,Cinchona pubescens Vahl,Ecuador,"(-6, 4]"
3762891665,ASU,Plants,33b34951-3bd3-47fc-8063-d7fd676304f8,,,,Tree#_200,2010-08-12T00:00:00,2010.0,8.0,12.0,,EC,,Maquipucuna,-78.62804,-0.1175,1555.0,"Tropical Lower Montane Wet Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29226591,PRESERVED_SPECIMEN,48086,,Myrtaceae,Myrcia,Myrcia splendens,Myrcia fallax (A.Rich.) DC.,SYNONYM,Myrcia splendens (Sw.) DC.,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree#_200; Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP21/CSP21011_lg.jpg,Myrcia splendens (Sw.) DC.,Ecuador,"(-6, 4]"
3762891534,ASU,Plants,818f4da3-a3f3-4f5a-9f24-be4e38625154,,,,,2009-10-02T00:00:00,2009.0,10.0,2.0,,PE,,San Pedro 2; SP2,-71.54083,-13.04718,1618.0,"Tropical Lower Montane Rain Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29223945,PRESERVED_SPECIMEN,48086,,Myrtaceae,Myrcia,Myrcia splendens,Myrcia fallax (A.Rich.) DC.,SYNONYM,Myrcia splendens (Sw.) DC.,e05fd4c2-4d77-4c50-880e-1b22096af300,,Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,Myrcia splendens (Sw.) DC.,Peru,"(-16, -6]"
3762890681,ASU,Plants,2d7a68e8-7e18-458c-9dd4-a14251853d23,,,,Tree#_575,2010-08-19T00:00:00,2010.0,8.0,19.0,,EC,,Maquipucuna,-78.62804,-0.1175,1555.0,"Tropical Lower Montane Wet Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29226813,PRESERVED_SPECIMEN,44444,,Asteraceae,Vernonanthura,Vernonanthura patens,Vernonia patens Kunth,SYNONYM,Vernonanthura patens (Kunth) H.Rob.,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree#_575; Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP21/CSP21233.jpg,Vernonanthura patens (Kunth) H. Rob.,Ecuador,"(-6, 4]"
3762890565,ASU,Plants,4761b398-b222-4ba3-b165-398e8a12d0a9,,,,,2010-01-08T00:00:00,2010.0,1.0,8.0,,CR,,Osa; B,-83.33975,8.41421,50.0,"Tropical Wet Forest, soil order: Ultisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29224419,PRESERVED_SPECIMEN,48086,,Myrtaceae,Myrcia,Myrcia splendens,Myrcia fallax (A.Rich.) DC.,SYNONYM,Myrcia splendens (Sw.) DC.,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP16/CSP16189_lg.jpg,Myrcia splendens (Sw.) DC.,Costa Rica,"(4, 14]"
3762890464,ASU,Plants,0a609303-bf38-4e85-aeb7-c4dcd5182c93,,,,,2010-11-29T00:00:00,2010.0,11.0,29.0,,PE,,Jenaro Herrera 1; JH1,-73.64762,-4.89909,124.0,"Tropical Moist Forest, soil order: Ultisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29222402,PRESERVED_SPECIMEN,366722,,Moraceae,Brosimum,Brosimum utile,Brosimum utile subsp. ovatifolium (Ducke) C.C.Berg,ACCEPTED,Brosimum utile subsp. ovatifolium (Ducke) C.C.Berg,e05fd4c2-4d77-4c50-880e-1b22096af300,,Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,Brosimum utile (Kunth) Pittier,Peru,"(-6, 4]"
3762888524,ASU,Plants,05dbfe5a-0c9c-4144-8e67-9032802212b1,,,,,2009-10-02T00:00:00,2009.0,10.0,2.0,,PE,,San Pedro 2; SP2,-71.54083,-13.04718,1618.0,"Tropical Lower Montane Rain Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29223743,PRESERVED_SPECIMEN,48086,,Myrtaceae,Myrcia,Myrcia splendens,Myrcia fallax (A.Rich.) DC.,SYNONYM,Myrcia splendens (Sw.) DC.,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP15/CSP15010_lg.jpg,Myrcia splendens (Sw.) DC.,Peru,"(-16, -6]"
3762887761,ASU,Plants,8b8972ae-dda9-4a4b-8e35-cfd9c77ab553,,,,TU-08_1800-10; AsatAmaxRd - Yadvinder,2011-08-24T00:00:00,2011.0,8.0,24.0,,PE,,Mirador; TRU-08,-71.55591,-13.07042,1832.0,"Tropical Lower Montane Rain Forest, soil order: Inceptisol",,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29228664,PRESERVED_SPECIMEN,48086,,Myrtaceae,Myrcia,Myrcia splendens,Myrcia fallax (A.Rich.) DC.,SYNONYM,Myrcia splendens (Sw.) DC.,e05fd4c2-4d77-4c50-880e-1b22096af300,StillImage,TU-08_1800-10; AsatAmaxRd - Yadvinder; Tree,,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/CSP25/CSP25297_lg.jpg,Myrcia splendens (Sw.) DC.,Peru,"(-16, -6]"
