gbifID,institutionCode,collectionCode,occurrenceID,catalogNumber,recordNumber,recordedBy,fieldNumber,eventDate,year,month,day,eventRemarks,countryCode,stateProvince,locality,decimalLongitude,decimalLatitude,elevation,habitat,eventRemarks,references,basisOfRecord,taxonID,scientificNameID,family,genus,species,scientificName,taxonomicStatus,acceptedScientificName,datasetKey,mediaType,occurrenceRemarks,dynamicProperties,fieldNotes,reproductiveCondition,hasGeospatialIssues,hasCoordinate,coordinateUncertaintyInMeters,issue,image_url,acceptedScientificName_corr,Country_name,Binned_latitude
3711561317,UB,UB,BRA:UB:UB:111286,111286,90,"Cezare, CHG; Souza-Silva, S; Raimundo, R",,2007-09-26T00:00:00,2007.0,9.0,26.0,,BR,Goiás,"Hidrelétrica de Corumbá III, área a ser desmatada para enchimento do reservatório.",-48.020556,-16.680833,772.0,,,,PRESERVED_SPECIMEN,,,Primulaceae,Myrsine,Myrsine coriacea,Rapanea ferruginea (Ruiz & Pav.) Mez,SYNONYM,Myrsine coriacea subsp. coriacea,d82d5a18-0428-4e52-be16-f509153e8126,,"presença de flores secas; Árvore 10m. Flor ausente, botão floral verde; Mata de Galeria não indundável (degradada). Topologia: Suave ondulado.",,,,False,True,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,Myrsine coriacea (Sw.) R. Br. ex Roem. & Schult.,Brazil,"(-20, -10]"
3711559359,UB,UB,BRA:UB:UB:111981,111981,53,"Campos, MBS; Carvalho, AM",,2007-09-21T00:00:00,2007.0,9.0,21.0,,BR,Distrito Federal,Parque Nacional de Brasília.,-47.929722,-15.779722,,,,,PRESERVED_SPECIMEN,,,Primulaceae,Myrsine,Myrsine coriacea,Rapanea coriacea (Sw.) Mez,SYNONYM,Myrsine coriacea subsp. coriacea,d82d5a18-0428-4e52-be16-f509153e8126,,Fruto maduro e imaturo presente.; Mata de galeria.,,,,False,True,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,Myrsine coriacea (Sw.) R. Br. ex Roem. & Schult.,Brazil,"(-20, -10]"
3711538405,UB,UB,BRA:UB:UB:43571,43571,2390,"Ratter, JA",,1972-09-09T00:00:00,1972.0,9.0,9.0,,BR,Mato Grosso,Rio Suiazinho.,-51.883333,-12.833333,,,,,PRESERVED_SPECIMEN,,,Rubiaceae,Palicourea,Palicourea grandifolia,Palicourea grandifolia var. grandifolia,SYNONYM,Palicourea grandifolia (Willd. ex Schult.) Standl.,d82d5a18-0428-4e52-be16-f509153e8126,,Shrub 4m. Flowers waxy yellow.,,,,False,True,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,Palicourea guianensis Aubl.,Brazil,"(-20, -10]"
3468334716,Universidad de los Andes (UniAndes),ANDES-H,,ANDES-H:5716,CB-16574,Alberto Guevara;Cesar Barbosa,,2008-01-28T00:00:00,2008.0,1.0,28.0,,CO,Cundinamarca,"Vereda Quebrada Blanca, afluente al río negro",-73.822222,4.515278,2516.5,,,,PRESERVED_SPECIMEN,,,Piperaceae,Piper,Piper bogotense,Piper bogotense C.DC.,ACCEPTED,Piper bogotense C.DC.,4862cc19-ad71-48c9-85ba-029e1b53a243,,Arbusto 4 m de alto,,,,False,True,,COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,,Piper barbatum Kunth,Colombia,"(0, 10]"
3424526048,Empresa Brasileira de Pesquisa Agropecuária,CPAP,BRA:CPAP:CPAP:19192,19192,237.0,"Cavalcanti, D. C.",,1996-06-10T00:00:00,1996.0,6.0,10.0,,BR,Sp,"Reserva Florestal da Escola de Especialistas de Aeronáutica, EEAR",-45.2,-22.81,,,,,PRESERVED_SPECIMEN,,,Primulaceae,Myrsine,Myrsine coriacea,Rapanea ferruginea (Ruiz & Pav.) Mez,SYNONYM,Myrsine coriacea subsp. coriacea,f9e1895f-4f52-45e7-aa4f-4dea366b7d2d,,"Árvore ca. 5m, flores, seiva gelatinosa. Mata de planalto",,,,False,True,,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE,,Myrsine coriacea (Sw.) R. Br. ex Roem. & Schult.,Brazil,"(-30, -20]"
3390905180,Universidad Tecnológica del Chocó (UTCH),CHOCO,UTCH:CHOCO:05124,05124,4402,Enrique Forero;R. Jaramillo;Luis E. Forero-P;N. Hernández,,1979-03-30T00:00:00,1979.0,3.0,30.0,,CO,Chocó,"Hoya del río San Juan, abajo de Docordó",-77.366667,4.25,0.0,,,,PRESERVED_SPECIMEN,,,Piperaceae,Piper,Piper lenticellosum,Piper lenticellosum C.DC.,ACCEPTED,Piper lenticellosum C.DC.,26d97e94-6ee9-4d5a-a9b8-7d514ec0345c,,Arbusto. Inflorescencia verdosa erecta,,,Floración,False,True,,COORDINATE_ROUNDED;INSTITUTION_MATCH_NONE,,Piper carpunya Ruiz & Pav.,Colombia,"(0, 10]"
3390902827,Universidad Tecnológica del Chocó (UTCH),CHOCO,UTCH:CHOCO:14535,14535,90,Enny Cuesta,,2005-06-10T00:00:00,2005.0,6.0,10.0,,CO,Chocó,Corregimiento de Pacurita,-76.66275,5.68375,,Bosque maduro,,,PRESERVED_SPECIMEN,,,Piperaceae,Piper,Piper bogotense,Piper oblitum Trel.,SYNONYM,Piper bogotense C.DC.,26d97e94-6ee9-4d5a-a9b8-7d514ec0345c,,Arbusto aromático terrestre,,,No reproductiva,False,True,1612.15,TAXON_MATCH_FUZZY;INSTITUTION_MATCH_NONE,,Piper barbatum Kunth,Colombia,"(0, 10]"
3390902762,Universidad Tecnológica del Chocó (UTCH),CHOCO,UTCH:CHOCO:14550,14550,89,Enny Cuesta,,2005-06-10T00:00:00,2005.0,6.0,10.0,,CO,Chocó,Corregimiento de Pacurita,-76.66275,5.68375,,Montaña,,,PRESERVED_SPECIMEN,,,Piperaceae,Piper,Piper bogotense,Piper oblitum Trel.,SYNONYM,Piper bogotense C.DC.,26d97e94-6ee9-4d5a-a9b8-7d514ec0345c,,Arbusto aromático terrestre,,,No reproductiva,False,True,1612.15,TAXON_MATCH_FUZZY;INSTITUTION_MATCH_NONE,,Piper barbatum Kunth,Colombia,"(0, 10]"
3390902725,Universidad Tecnológica del Chocó (UTCH),CHOCO,UTCH:CHOCO:14566,14566,88,Enny Cuesta,,2005-06-10T00:00:00,2005.0,6.0,10.0,,CO,Chocó,Corregimiento de Pacurita,-76.66275,5.68375,,Montaña,,,PRESERVED_SPECIMEN,,,Piperaceae,Piper,Piper bogotense,Piper oblitum Trel.,SYNONYM,Piper bogotense C.DC.,26d97e94-6ee9-4d5a-a9b8-7d514ec0345c,,Arbusto aromático terrestre,,,No reproductiva,False,True,1612.15,TAXON_MATCH_FUZZY;INSTITUTION_MATCH_NONE,,Piper barbatum Kunth,Colombia,"(0, 10]"
3390901859,Universidad Tecnológica del Chocó (UTCH),CHOCO,UTCH:CHOCO:10798,10798,4183,Gloria Galeano,,1994-02-01T00:00:00,1994.0,2.0,1.0,,CO,Chocó,quebrada Chaquí,-77.23351,5.69019,200.0,,,,PRESERVED_SPECIMEN,,,Piperaceae,Piper,Piper bogotense,Piper oblitum Trel.,SYNONYM,Piper bogotense C.DC.,26d97e94-6ee9-4d5a-a9b8-7d514ec0345c,,"Terrestre. Tallo de 50 cm de alto, 1 cm de diámetro. Amento rojizo",,,Floración,False,True,1650.89,TAXON_MATCH_FUZZY;INSTITUTION_MATCH_NONE,,Piper barbatum Kunth,Colombia,"(0, 10]"
